,피해면적합계,진화종료 일,진화종료 월,진화종료 일시,진화종료 연도,발생원인,발생장소_지번,발생장소_동리,발생장소_시군구,발생장소_읍면,발생장소_시도,발생일,발생요일,발생월,발생시간,발생연도
0,0.1,28,12,08:30:00,2011,입산자실화,산202-2,장전평,홍천,홍천,강원,28,수요일,12,03:20:00,2011
1,0.5,24,12,16:30:00,2011,쓰레기소각,산14-1,무계,청송,현서,경북,24,토요일,12,14:30:00,2011
2,0.01,22,12,18:20:00,2011,입산자실화,산52,원,산청,시천,경남,22,목요일,12,17:15:00,2011
3,0.2,09,12,15:00:00,2011,기타,산27,용수,기장,정관,부산,09,금요일,12,14:11:00,2011
4,0.3,29,11,22:30:00,2011,담뱃불실화,산4-1,거포,옥천,청성,충북,29,화요일,11,20:10:00,2011
5,0.05,26,11,14:17:00,2011,농산부산물소각,산24-1,하원,울진,서,경북,26,토요일,11,13:43:00,2011
6,0.3,21,11,00:43:00,2011,입산자실화,산14-1,남북,인제,인제,강원,20,일요일,11,21:54:00,2011
7,0.01,14,11,13:40:00,2011,입산자실화,산60,대석,양산,상북,경남,14,월요일,11,13:07:00,2011
8,3,02,11,10:30:00,2011,담뱃불실화,산224,동촌,화천,화천,강원,01,화요일,11,15:23:00,2011
9,0.2,27,10,15:30:00,2011,담뱃불실화,산73,고문,연천,연천,경기,27,목요일,10,13:20:00,2011
10,1,26,10,14:30:00,2011,기타,산4,구수,영광,백수,전남,26,수요일,10,12:35:00,2011
11,0.01,17,10,16:30:00,2011,입산자실화,산1-40,가아,인제,인제,강원,17,월요일,10,15:05:00,2011
12,0.1,13,10,17:50:00,2011,담뱃불실화,산102,고성,춘천,사북,강원,13,목요일,10,15:54:00,2011
13,0.01,07,10,16:28:00,2011,입산자실화,산109,시동,홍천,남,강원,07,금요일,10,14:46:00,2011
14,0.3,06,10,23:30:00,2011,입산자실화,산222,동천,화천,화천,강원,06,목요일,10,18:13:00,2011
15,0.2,21,06,19:30:00,2011,농산부산물소각,산100-3,시남,창녕,남지,경남,21,화요일,06,17:07:00,2011
16,1,21,06,17:30:00,2011,입산자실화,산10-3,석탄,옥천,동이,충북,21,화요일,06,14:40:00,2011
17,0.09,21,06,14:40:00,2011,입산자실화,산14-1,강주,함안,법수,경남,21,화요일,06,13:00:00,2011
18,0.6,20,06,18:45:00,2011,입산자실화,산40,간공,산청,신등,경남,20,월요일,06,14:45:00,2011
19,0.01,20,06,14:14:00,2011,입산자실화,산56,상품,여주,산북,경기,20,월요일,06,13:15:00,2011
20,1,17,06,06:10:00,2011,입산자실화,산41-1,수신,부여,외산,충남,16,목요일,06,19:40:00,2011
21,0.08,16,06,17:53:00,2011,기타,산199,독지,화성,송산,경기,16,목요일,06,15:13:00,2011
22,0.1,15,06,14:45:00,2011,입산자실화,산46,조양,춘천,동산,강원,15,수요일,06,13:15:00,2011
23,0.1,12,06,18:30:00,2011,입산자실화,산78-6,,삼척,마평,강원,12,일요일,06,14:25:00,2011
24,1,22,05,16:00:00,2011,입산자실화,산148-1,태기,울주,언양,울산,22,일요일,05,13:40:00,2011
25,0.1,19,05,14:40:00,2011,농산부산물소각,산49-1,,,호평,대전,19,목요일,05,13:53:00,2011
26,0.1,15,05,18:55:00,2011,쓰레기소각,산1113-17,오지,철원,동송,강원,15,일요일,05,14:50:00,2011
27,0.3,05,05,16:45:00,2011,입산자실화,산118,용두,함평,나산,전남,05,목요일,05,15:30:00,2011
28,0.5,05,05,16:15:00,2011,입산자실화,산10,추정,청주 청원,낭성,충북,05,목요일,05,13:20:00,2011
29,0.12,03,05,15:56:00,2011,기타,산5,,부산진,전포,부산,03,화요일,05,15:07:00,2011
30,5,30,04,05:10:00,2011,기타,산42,신안,홍성,갈산,충남,29,금요일,04,23:04:00,2011
31,0.3,25,04,17:00:00,2011,농산부산물소각,산165,사성,당진,대호지,충남,25,월요일,04,14:20:00,2011
32,0.66,24,04,17:00:00,2011,기타,산44-48,,노원,상계1,서울,24,일요일,04,15:40:00,2011
33,0.2,24,04,16:13:00,2011,농산부산물소각,산133,북지,봉화,물야,경북,24,일요일,04,15:05:00,2011
34,0.13,21,04,19:00:00,2011,입산자실화,산118,굴화,울주,범서,울산,21,목요일,04,18:05:00,2011
35,0.2,21,04,16:40:00,2011,입산자실화,산88,송계,함양,서하,경남,21,목요일,04,14:40:00,2011
36,0.3,21,04,14:10:00,2011,입산자실화,산3-1,금곡,진천,초평,충북,21,목요일,04,12:51:00,2011
37,1,21,04,14:20:00,2011,농산부산물소각,산221-11,송학,나주,다도,전남,21,목요일,04,11:40:00,2011
38,0.3,20,04,18:30:00,2011,입산자실화,산96-2,진기,남원,보절,전북,20,수요일,04,17:10:00,2011
39,1.2,20,04,18:20:00,2011,기타,산12,현,영양,영양,경북,20,수요일,04,16:05:00,2011
40,0.6,20,04,15:10:00,2011,농산부산물소각,산19,춘당,횡성,청일,강원,20,수요일,04,14:15:00,2011
41,0.05,20,04,15:00:00,2011,농산부산물소각,700-1,우덕,정읍,덕천,전북,20,수요일,04,14:00:00,2011
42,0.1,20,04,14:40:00,2011,입산자실화,산424,서포,옹진,덕적,인천,20,수요일,04,12:50:00,2011
43,0.1,19,04,16:40:00,2011,입산자실화,산1-1,명덕,완주,소양,전북,19,화요일,04,15:30:00,2011
44,0.2,19,04,15:30:00,2011,입산자실화,산38,오정,담양,수북,전남,19,화요일,04,13:50:00,2011
45,0.1,19,04,14:20:00,2011,입산자실화,산216-4,군내,완도,완도,전남,19,화요일,04,13:20:00,2011
46,1,19,04,14:06:00,2011,기타,산14 외 2,대,예산,광시,충남,19,화요일,04,10:50:00,2011
47,0.2,17,04,15:08:00,2011,농산부산물소각,산14,고시,,청일,강원,17,일요일,04,14:22:00,2011
48,0.01,17,04,14:05:00,2011,입산자실화,산41-1,차곡,음성,생극,충북,17,일요일,04,13:19:00,2011
49,0.3,17,04,14:20:00,2011,입산자실화,산36,신월,인제,남면,강원,17,일요일,04,12:40:00,2011
50,0.1,17,04,13:30:00,2011,쓰레기소각,산35-3,두음,봉화,소천,경북,17,일요일,04,12:34:00,2011
51,0.06,17,04,13:50:00,2011,입산자실화,산58,당항,남해,창선,경남,17,일요일,04,12:30:00,2011
52,0.1,16,04,19:30:00,2011,입산자실화,산37-2,강촌,춘천,남산,강원,16,토요일,04,18:25:00,2011
53,0.4,16,04,16:40:00,2011,입산자실화,산28-1,,서초,신원,서울,16,토요일,04,14:15:00,2011
54,1,14,04,16:15:00,2011,쓰레기소각,산62-2 외 3,장학,성주,선남,경북,14,목요일,04,14:00:00,2011
55,0.6,14,04,16:25:00,2011,농산부산물소각,산145,둔마,거창,남하,경남,14,목요일,04,13:38:00,2011
56,1.2,14,04,14:55:00,2011,쓰레기소각,산101 외 1,쌍전,울진,서,경북,14,목요일,04,13:02:00,2011
57,0.5,14,04,02:30:00,2011,입산자실화,산107-28,중리,춘천,신동,강원,13,수요일,04,23:40:00,2011
