,화재발생일자,화재발생시간,시도명,시군구명,읍면동명,읍면동구분명,번지,도로명,발화지점,날씨,온도,습도,특보내용,발화원인,발화요인대분류명,발화요인소분류명,접수일자,접수시각,소방서명,서센터명,소방지역대명,출동일자,출동시각,현장도착일자,현장도착시각,출동소요시간,현장소방서거리,현장안전센터거리,현장소방지역대거리,초진일자,초진시각,전체인력수합계,완진일자,완진시간,화재진압시간,동원장비수,인명피해수,재산피해금액,피해면적
0,20110122,233500,강원도,강릉시,죽헌동,,108-41,,산정상,맑음,-1,30,,기타,방화의심,라이터불/성냥불,20110122,233511,강릉소방서,경포119안전센터,,20110122,233615,20110122,235315,1700,9,9,0,20110123,121115,37,20110123,1115,1800,8,0,0,0.3
1,20110131,181300,강원도,양양군,현남면,상월천리,289,,산아래,맑음,1,10,건조경보,기타,부주의,모닥불/연탄/숯,20110131,181311,양양소방서,하조대119안전센터,,20110131,181409,20110131,183024,1615,43,13,0,20110201,94538,1872,20110201,103016,155952,71,0,184330,30
2,20110211,175000,강원도,홍천군,내촌면,물걸리,5,,산중턱,구름많음,-2,29,,입산자실화,기타,기타,20110211,175032,홍천소방서,서석119안전센터,내촌119지역대,20110211,175220,20110211,181500,2240,37,37,7,20110211,74100,171,20110211,202000,20500,9,0,4864,0.3
3,20110212,61800,강원도,원주시,귀래면,귀래리,1894-3,,산중턱,구름많음,-6,44,,모닥불,부주의,모닥불/연탄/숯,20110212,61836,원주소방서,흥업119안전센터,귀래119지역대,20110212,62010,20110212,64029,2019,20,20,8,20110212,82038,94,20110212,103038,35009,9,0,50,0.3
4,20110226,164200,강원도,원주시,태장동,,363-33,,산정상,맑음,14,23,,담뱃불,부주의,담뱃불,20110226,164234,원주소방서,태장119안전센터,,20110226,164353,20110226,164901,508,8,2,0,20110226,52601,46,20110226,172726,3825,8,0,440,0.03
5,20110309,131800,강원도,영월군,영월읍,정양리,,,산아래,맑음,1,19,,기타,부주의,불꽃/불티,20110309,131855,영월소방서,영월119안전센터,,20110309,131916,20110309,132916,1000,9,9,8,20110309,50016,204,20110309,200016,63100,26,0,600,2
6,20110311,134200,강원도,횡성군,우천면,정금리,21,,산정상,맑음,5,43,,입산자실화,부주의,미상,20110311,134249,횡성소방서,우천119안전센터,,20110311,134334,20110311,140409,2035,17,10,0,20110311,21746,214,20110311,151737,11328,10,0,0,0.1
7,20110314,193500,강원도,영월군,영월읍,정양리,80,,산아래,맑음,4,67,,미상,미상,미상,20110314,193519,영월소방서,영월119안전센터,,20110314,193540,20110314,195222,1642,9,9,7,20110314,90022,116,20110314,230622,31400,5,0,64,0.1
8,20110318,115800,강원도,홍천군,홍천읍,연봉리,,,산정상,맑음,9,21,,입산자실화,기타,기타,20110318,115807,홍천소방서,홍천119안전센터,,20110318,115900,20110318,120327,427,6,6,0,20110318,123300,88,20110318,124800,4433,15,0,3264,0.2
9,20110324,125600,강원도,화천군,화천읍,풍산리,산240,,산아래,맑음,4,47,,논/밭두렁,부주의,쓰레기/논밭두렁,20110324,125625,춘천소방서,화천119안전센터,,20110324,125721,20110324,130321,600,46,6,0,20110324,15021,102,20110324,135021,4700,8,0,0,0.7
10,20110401,105200,강원도,정선군,정선읍,신월2리,산18,,산아래,맑음,14,24,,논/밭두렁,부주의,쓰레기/논밭두렁,20110401,105215,정선소방서,조양119안전센터,,20110401,105300,20110401,110300,1000,8,8,12,20110401,122020,160,20110401,133000,22700,19,0,0,0.3
11,20110405,110400,강원도,춘천시,남면,관천리,47,,산중턱,맑음,16,47,,미상,미상,미상,20110405,110414,춘천소방서,강촌119안전센터,,20110405,110536,20110405,112736,2200,40,25,0,20110405,120036,67,20110405,120036,3300,3,0,1485,0.1
