화재발생일시,화재발생_연,화재발생_월,화재발생_일,주말여부,화재발생시간대,시군구명,읍면동명,발화지점,날씨,온도,습도,특보내용,발화원인종합,소방서명,서센터명,소방지역대명,출동소요시간,현장소방서거리,현장안전센터거리,현장소방지역대거리,전체인력수합계,화재진압시간,동원장비수,인명피해수,재산피해금액,피해면적
2011-01-22 23:35:00,2011,1,22,1,21~24,강릉시,죽헌동,산정상,맑음,-1,30,,방화 및 방화의심,강릉소방서,경포119안전센터,,1700,9,9,0.0,37,1800,8,0,0,0.3
2011-01-31 18:13:00,2011,1,31,0,18~21,양양군,현남면,산아래,맑음,1,10,건조경보,인간의 부주의,양양소방서,하조대119안전센터,,1615,43,13,0.0,1872,155952,71,0,184330,30.0
2011-02-11 17:50:00,2011,2,11,0,15~18,홍천군,내촌면,산중턱,구름많음,-2,29,,인간의 부주의,홍천소방서,서석119안전센터,내촌119지역대,2240,37,37,7.0,171,20500,9,0,4864,0.3
2011-02-12 06:18:00,2011,2,12,1,3~6,원주시,귀래면,산중턱,구름많음,-6,44,,인간의 부주의,원주소방서,흥업119안전센터,귀래119지역대,2019,20,20,8.0,94,35009,9,0,50,0.3
2011-02-26 16:42:00,2011,2,26,1,15~18,원주시,태장동,산정상,맑음,14,23,,인간의 부주의,원주소방서,태장119안전센터,,508,8,2,0.0,46,3825,8,0,440,0.03
2011-03-09 13:18:00,2011,3,9,0,12~15,영월군,영월읍,산아래,맑음,1,19,,인간의 부주의,영월소방서,영월119안전센터,,1000,9,9,8.0,204,63100,26,0,600,2.0
2011-03-11 13:42:00,2011,3,11,0,12~15,횡성군,우천면,산정상,맑음,5,43,,인간의 부주의,횡성소방서,우천119안전센터,,2035,17,10,0.0,214,11328,10,0,0,0.1
2011-03-14 19:35:00,2011,3,14,0,18~21,영월군,영월읍,산아래,맑음,4,67,,미상,영월소방서,영월119안전센터,,1642,9,9,7.0,116,31400,5,0,64,0.1
2011-03-18 11:58:00,2011,3,18,0,9~12,홍천군,홍천읍,산정상,맑음,9,21,,인간의 부주의,홍천소방서,홍천119안전센터,,427,6,6,0.0,88,4433,15,0,3264,0.2
2011-03-24 12:56:00,2011,3,24,0,9~12,화천군,화천읍,산아래,맑음,4,47,,인간의 부주의,춘천소방서,화천119안전센터,,600,46,6,0.0,102,4700,8,0,0,0.7
2011-04-01 10:52:00,2011,4,1,0,9~12,정선군,정선읍,산아래,맑음,14,24,,인간의 부주의,정선소방서,조양119안전센터,,1000,8,8,12.0,160,22700,19,0,0,0.3
2011-04-05 11:04:00,2011,4,5,0,9~12,춘천시,남면,산중턱,맑음,16,47,,미상,춘천소방서,강촌119안전센터,,2200,40,25,0.0,67,3300,3,0,1485,0.1
2011-04-06 14:41:00,2011,4,6,0,12~15,철원군,철원읍,산아래,맑음,13,41,,인간의 부주의,철원소방서,동송119안전센터,,300,13,2,0.0,294,10500,11,0,0,0.2
2011-04-06 16:23:00,2011,4,6,0,15~18,강릉시,왕산면,산정상,맑음,17,13,건조주의보,인간의 부주의,강릉소방서,내곡119안전센터,,2000,18,17,0.0,160,1600,20,0,0,0.1
2011-04-09 12:30:00,2011,4,9,1,9~12,양구군,동면,산아래,맑음,19,14,,미상,춘천소방서,양구119안전센터,,1300,50,15,0.0,68,1923,5,0,0,0.04
2011-04-09 12:52:00,2011,4,9,1,9~12,양구군,남면,산아래,맑음,18,16,,인간의 부주의,춘천소방서,양구119안전센터,,619,48,17,7.0,94,5953,3,0,0,0.03
2011-04-10 12:13:00,2011,4,10,1,9~12,화천군,하남면,산아래,구름많음,18,28,,인간의 부주의,춘천소방서,화천119안전센터,,1000,45,10,0.0,63,3331,7,0,0,0.1
2011-04-13 15:32:00,2011,4,13,0,15~18,양양군,손양면,산아래,맑음,23,11,건조주의보,미상,양양소방서,양양119안전센터,,5301,24,7,0.0,936,11931,17,0,6982,4.0
2011-04-13 15:55:00,2011,4,13,0,15~18,삼척시,도계읍,산중턱,맑음,21,15,,인간의 부주의,삼척소방서,도계119안전센터,,1000,27,9,0.0,209,10400,18,0,0,0.2
2011-04-13 16:47:00,2011,4,13,0,15~18,영월군,수주면,산중턱,맑음,13,36,,인간의 부주의,영월소방서,주천119안전센터,,3505,44,18,0.0,174,2800,18,0,0,0.15
