한달내의 시기,계절,주말여부,화재발생시간대,시군구명,발화지점,날씨,온도,습도,시간단위풍속,특보내용,발화원인종합,출동소요시간,현장소방서거리,현장안전센터거리,전체인력수합계,화재진압시간,동원장비수,피해면적
월말,겨울,1,21~24,강릉시,산정상,맑음,-1,30,45,,방화 및 방화의심,1700,9,9,37,1800,8,0.3
월말,겨울,0,18~21,양양군,산아래,맑음,1,10,225,특보_건조,인간의 부주의,1615,43,13,1872,155952,71,30.0
월중순,겨울,0,15~18,홍천군,산중턱,구름많음,-2,29,225,,인간의 부주의,2240,37,37,171,20500,9,0.3
월중순,겨울,1,3~6,원주시,산중턱,구름많음,-6,44,225,,인간의 부주의,2019,20,20,94,35009,9,0.3
월말,겨울,1,15~18,원주시,산정상,맑음,14,23,180,,인간의 부주의,508,8,2,46,3825,8,0.03
월초,봄,0,12~15,영월군,산아래,맑음,1,19,225,,인간의 부주의,1000,9,9,204,63100,26,2.0
월중순,봄,0,12~15,횡성군,산정상,맑음,5,43,225,,인간의 부주의,2035,17,10,214,11328,10,0.1
월중순,봄,0,18~21,영월군,산아래,맑음,4,67,45,,미상,1642,9,9,116,31400,5,0.1
월중순,봄,0,9~12,홍천군,산정상,맑음,9,21,315,,인간의 부주의,427,6,6,88,4433,15,0.2
월말,봄,0,9~12,화천군,산아래,맑음,4,47,90,,인간의 부주의,600,46,6,102,4700,8,0.7
월초,봄,0,9~12,정선군,산아래,맑음,14,24,315,,인간의 부주의,1000,8,8,160,22700,19,0.3
월초,봄,0,9~12,춘천시,산중턱,맑음,16,47,225,,미상,2200,40,25,67,3300,3,0.1
월초,봄,0,12~15,철원군,산아래,맑음,13,41,90,,인간의 부주의,300,13,2,294,10500,11,0.2
월초,봄,0,15~18,강릉시,산정상,맑음,17,13,270,특보_건조,인간의 부주의,2000,18,17,160,1600,20,0.1
월초,봄,1,9~12,양구군,산아래,맑음,19,14,270,,미상,1300,50,15,68,1923,5,0.04
월초,봄,1,9~12,양구군,산아래,맑음,18,16,270,,인간의 부주의,619,48,17,94,5953,3,0.03
월초,봄,1,9~12,화천군,산아래,구름많음,18,28,270,,인간의 부주의,1000,45,10,63,3331,7,0.1
월중순,봄,0,15~18,양양군,산아래,맑음,23,11,225,특보_건조,미상,5301,24,7,936,11931,17,4.0
월중순,봄,0,15~18,삼척시,산중턱,맑음,21,15,270,,인간의 부주의,1000,27,9,209,10400,18,0.2
월중순,봄,0,15~18,영월군,산중턱,맑음,13,36,315,,인간의 부주의,3505,44,18,174,2800,18,0.15
월중순,봄,0,21~24,춘천시,산중턱,맑음,5,59,180,,미상,1400,10,8,111,4500,3,0.5
월중순,봄,1,9~12,인제군,산중턱,맑음,11,58,135,,인간의 부주의,340,47,27,198,13450,7,0.3
월중순,봄,1,12~15,횡성군,산아래,맑음,18,22,225,,인간의 부주의,957,24,24,154,3552,10,0.2
